symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
EPL,EPL Limited,Capital Goods,Consumer Cyclical,Packaging & Containers,7676.0,59.96,,"EPL Limited, together with its subsidiaries, manufactures and sells plastic packaging materials in the Americas, Europe, Africa, the Middle East, South Asia, and East Asia Pacific. It offers dispensing systems, caps and closures, laminated tubes, laminates, and extruded tubes. The company also provides laminated tubes, including Platina, Platina Pro, r-Platina, Platina Me, Platina Vision, Platina"
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,Industrials,Railroads,10083.0,39.45,,"Titagarh Rail Systems Limited manufactures and sells freight and passenger rail systems in India and internationally. The company offers forged wheel set, cast bogies, couplers, draft gear, loco shells, and cast manganese steel crossing products; flat, hopper, tank, box, automobile-carrying, covered, and special purpose wagons; and brake vans. It also provides passenger rolling stock products, inc"
JWL,Jupiter Wagons Limited,Capital Goods,Industrials,Railroads,9747.0,14.71,,"Jupiter Wagons Limited manufactures and sells railway wagons, wagon components, and railway transportation equipment in India and internationally. It provides open, covered, flat, hopper, container, and special purpose wagons; and wagon accessories, such as alloy steel cast bogies, high tensile center buffer couplers, and high-capacity draft gears. The company also offers train sets, passenger, an"
TEXRAIL,Texmaco Rail & Engineering Limited,Capital Goods,Industrials,Railroads,4656.0,22.39,,"Texmaco Rail & Engineering Limited manufactures, sells, and provides services for rail and rail related products in India. It operates through four segments: Freight Car Division, Infra Rail & Green Energy, Infra Electrical, and Real Estate. The company offers freight cars, such as railway freight cars, loco components and shells, and steel castings; steel girders for railway bridges; and pressure"
WAAREEENER,Waaree Energies Limited,Capital Goods,Technology,Solar,71884.0,125.96,Renewable Energy Equipment,"Waaree Energies Limited manufactures and trades in solar photovoltaic modules in India and internationally. It operates through Solar Photovoltaic Modules; Generation of Power; and Engineering, Procurement and Construction Contract segments. The company offers PV modules, such as HJT, N Type, mono PERC, flexible, and special modules; single and three phase on-grid inverter; solar kits; battery ene"
PREMIERENE,Premier Energies Limited,Capital Goods,Technology,Solar,41529.0,89.43,Renewable Energy Equipment,"Premier Energies Limited, together with its subsidiaries, manufactures, sells, and trades in solar cells and modules in India and internationally. The company offers P-type mono PERC and N-type TOPCon photovoltaic cells, including M10R 10BB mono PERC solar cells, G12R 16BB n-type bifacial solar cells, and G12R 0BB n-type bifacial solar cells; and a range of p-type mono PERC and n-type TOPCon bifac"
EMMVEE,Emmvee Photovoltaic Power Limited,Capital Goods,Technology,Solar,23581.0,42.86,,"Emmvee Photovoltaic Power Limited manufactures and sales solar cells, photovoltaic modules, and photovoltaic systems across India and Europe. Its products include TopCon Photovoltaic Module and TopCon Photovoltaic cells. It also executes grid and off-grid photovoltaic power projects on a turnkey basis and operates solar power plants. The company serves independent power producers, entities operati"
UTLSOLAR,Fujiyama Power Systems Limited,Capital Goods,Technology,Solar,12953.0,11.08,,"Fujiyama Power Systems Limited manufactures and sells roof-top solar products and solutions under the UTL Solar and Fujiyama Solar brands in India and internationally. It offers solar power generation systems, such as solar panels, hybrid solar inverter, off and on- grid inverter, online solar power conditioning units, solar management unit, and lithium-ion and tubular lead acid batteries; power b"
BORORENEW,BOROSIL RENEWABLES LIMITED,Capital Goods,Technology,Solar,6973.0,21.25,,"Borosil Renewables Limited engages in the manufacture and sale of flat glass products in India and internationally. It provides low iron textured solar glass for various applications in photovoltaic (PV) panels, flat plate collectors, and greenhouses. It also offers 2 MM fully tempered solar glass; Shakti, a solar glass in matt-matt finish; NoSbEra, an antimony-free solar glass; Selene, an anti-gl"
VIKRAMSOLR,Vikram Solar Limited,Capital Goods,Technology,Solar,5934.0,29.47,,"Vikram Solar Limited engages in the manufacture and sale of solar photovoltaic modules/systems in India and internationally. It also engineering, procurement and construction (EPC) and operation and maintenance of solar power plant. It sells its products under the Suryava, Hypersol, Hypersol Pro, Paradea, and SOMERA brand names. It also involved in rooftop projects. The company was incorporated in"
SAATVIKGL,Saatvik Green Energy Limited,Capital Goods,Technology,Solar,5486.0,2.56,,"Saatvik Green Energy Limited manufactures and sells solar photovoltaic modules in India and internationally. Its solar energy products include monocrystalline passive emitter and rear cell modules and N-TopCon solar modules for various applications comprising residential, commercial, and utility scale solar projects. The company also provides solar pumps, such as solar submersible and surface pump"
WEBELSOLAR,Websol Energy System Limited,Capital Goods,Technology,Solar,3127.0,14.28,Renewable Energy Equipment,"Websol Energy System Limited manufactures and sells solar photovoltaic (PV) cells and modules in India and internationally. It serves solar module manufacturers. The company was formerly known as Websol Energy Systems Ltd. and changed its name to Websol Energy System Limited in October 2011. The company was incorporated in 1990 and is based in Kolkata, India."
